period,state,stateDescription,estimated-losses,facility-direct,full-service-providers,total-elect-indust,estimated-losses-units,facility-direct-units,full-service-providers-units,total-elect-indust-units
2019,GA,Georgia,7553441,49753,139251237,139300990,megawatthours,megawatthours,megawatthours,megawatthours
2019,FL,Florida,13032600,10888,240337067,240347955,megawatthours,megawatthours,megawatthours,megawatthours
2019,DE,Delaware,621917,11613,7298054,11469422,megawatthours,megawatthours,megawatthours,megawatthours
2019,DC,District of Columbia,598003,8829,3112215,11028403,megawatthours,megawatthours,megawatthours,megawatthours
2019,CT,Connecticut,1512846,162274,13501894,27899996,megawatthours,megawatthours,megawatthours,megawatthours
2019,CO,Colorado,3064779,70388,56450435,56520823,megawatthours,megawatthours,megawatthours,megawatthours
2019,CA,California,13576506,1990410,181470082,250378710,megawatthours,megawatthours,megawatthours,megawatthours
2019,AZ,Arizona,4225622,83432,77845738,77929170,megawatthours,megawatthours,megawatthours,megawatthours
2019,AR,Arkansas,2607791,22798,48070234,48093032,megawatthours,megawatthours,megawatthours,megawatthours
2019,AL,Alabama,4776859,18167,88076945,88095112,megawatthours,megawatthours,megawatthours,megawatthours
2019,AK,Alaska,315518,,5818805,5818805,megawatthours,megawatthours,megawatthours,megawatthours
2019,WY,Wyoming,908982,,16763496,16763496,megawatthours,megawatthours,megawatthours,megawatthours
2019,WA,Washington,4937236,,88730775,91052796,megawatthours,megawatthours,megawatthours,megawatthours
2018,LA,Louisiana,4857897,,94186072,94186072,megawatthours,megawatthours,megawatthours,megawatthours
2018,KY,Kentucky,3951397,130341,76480295,76610636,megawatthours,megawatthours,megawatthours,megawatthours
2018,KS,Kansas,2168169,,42036979,42036979,megawatthours,megawatthours,megawatthours,megawatthours
2018,TN,Tennessee,5307917,43472,102867711,102911183,megawatthours,megawatthours,megawatthours,megawatthours
2018,SD,South Dakota,663131,,12856938,12856938,megawatthours,megawatthours,megawatthours,megawatthours
2018,SC,South Carolina,4210858,,81641138,81641138,megawatthours,megawatthours,megawatthours,megawatthours
2018,RI,Rhode Island,391131,1616,4108150,7583339,megawatthours,megawatthours,megawatthours,megawatthours
2018,PA,Pennsylvania,7683870,14267,49808523,148976731,megawatthours,megawatthours,megawatthours,megawatthours
2018,OR,Oregon,2544114,6328,46725458,49325904,megawatthours,megawatthours,megawatthours,megawatthours
2018,OK,Oklahoma,3330643,0,64575316,64575316,megawatthours,megawatthours,megawatthours,megawatthours
2018,OH,Ohio,7887005,207562,46621224,152915167,megawatthours,megawatthours,megawatthours,megawatthours
2018,NY,New York,7733030,755855,72536102,149929851,megawatthours,megawatthours,megawatthours,megawatthours
2018,NV,Nevada,1948617,108185,32853973,37780263,megawatthours,megawatthours,megawatthours,megawatthours
2018,NM,New Mexico,1240371,18974,24029637,24048611,megawatthours,megawatthours,megawatthours,megawatthours
2018,NJ,New Jersey,3920766,469951,39948943,76016762,megawatthours,megawatthours,megawatthours,megawatthours
2018,NH,New Hampshire,569741,,5329358,11046284,megawatthours,megawatthours,megawatthours,megawatthours
2018,WA,Washington,4642287,,87977064,90005791,megawatthours,megawatthours,megawatthours,megawatthours
2018,IN,Indiana,5374101,24362,104170014,104194376,megawatthours,megawatthours,megawatthours,megawatthours
2018,IL,Illinois,7357800,456619,51822364,142654808,megawatthours,megawatthours,megawatthours,megawatthours
2018,ID,Idaho,1225150,,23753508,23753508,megawatthours,megawatthours,megawatthours,megawatthours
2018,IA,Iowa,2641325,2607,51208048,51210655,megawatthours,megawatthours,megawatthours,megawatthours
2018,HI,Hawaii,481589,30558,9306603,9337161,megawatthours,megawatthours,megawatthours,megawatthours
2018,GA,Georgia,7213964,55738,139810336,139866074,megawatthours,megawatthours,megawatthours,megawatthours
2018,FL,Florida,12304643,6702,238558689,238565391,megawatthours,megawatthours,megawatthours,megawatthours
2018,DE,Delaware,607229,4246,7438479,11773100,megawatthours,megawatthours,megawatthours,megawatthours
2018,DC,District of Columbia,585814,,3154278,11357910,megawatthours,megawatthours,megawatthours,megawatthours
2018,CT,Connecticut,1487186,131715,13667330,28833925,megawatthours,megawatthours,megawatthours,megawatthours
2018,CO,Colorado,2911583,161624,56288856,56450480,megawatthours,megawatthours,megawatthours,megawatthours
2018,CA,California,13163869,1924290,205345286,255224272,megawatthours,megawatthours,megawatthours,megawatthours
2018,AZ,Arizona,4040918,78040,78268262,78346302,megawatthours,megawatthours,megawatthours,megawatthours
2018,AR,Arkansas,2558391,15071,49587637,49602708,megawatthours,megawatthours,megawatthours,megawatthours
